Country of Birth,Total,%,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgian Congo,17,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,2,,,1,1,,3,,1,,,1,,1,,,,,,,,,,,1,1,,
Belgium,659,0.07%,2,2,,3,1,3,1,1,4,2,1,2,3,3,3,1,1,6,,4,3,4,4,2,8,6,3,2,6,17,7,1,6,11,11,4,3,11,5,6,5,10,6,3,11,5,4,4,10,10,7,9,4,5,6,7,5,4,11,27,16,6,32,28,32,41,25,30,43,50,32,8
Belize,14,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,3,,,,,1,1,,,2,1,,,,2,,,,,,1,,
Benin,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,
Bermuda,205,0.02%,1,,,,,,,,,,,,,,,,,,,,,,,4,,1,3,11,22,14,20,6,17,11,3,2,8,1,2,3,3,7,3,2,1,1,3,,4,,,2,2,,,1,4,2,1,2,3,3,,1,2,2,4,5,2,11,4,1
Bhutan,641,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,4,,,,,92,110,110,75,73,98,43,31
Bolivia,161,0.02%,4,,,,,2,,,,,,,,1,,,,1,,,1,,,3,,1,,,,,5,5,1,,,2,1,,,,1,3,3,1,1,1,3,1,1,1,2,1,5,1,13,4,3,8,6,7,3,7,,7,5,5,4,10,2,11,8,6
Born aboard aircraft,3,0.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born at sea,38,0.00%,18,,,1,,,,,1,,,,,,,,,,,,,,,2,1,,,,,2,,1,1,1,3,,,2,,,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,20,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,5,1,2,4
Bosnia-Herzegovina,475,0.05%,,,,,,,,,1,,1,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,80,166,49,32,27,20,14,14,10,10,7,9,3,5,8,10,,,1,,,,
Botswana,189,0.02%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,4,,,1,,,,1,7,10,8,5,6,7,2,11,19,7,6,9,6,10,7,11,10,8,13,7,6,3
Brazil,2648,0.28%,1,,,,,1,,,,,,,,,,,,,,,,,,,3,1,5,2,4,2,2,1,3,6,,2,6,,1,5,3,2,3,4,3,7,7,12,17,27,25,24,38,28,24,25,46,68,54,57,31,28,53,93,135,152,205,242,377,289,334,190
British Cameroons,5,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
British Guiana,42,0.00%,1,,,,,,,,,,,,,,,,,1,1,1,1,,4,,,,1,,,,,,2,1,1,2,5,,1,3,,,2,3,1,2,,,,1,4,2,2,,,,,,,,,,,,,,,,,,,
British Honduras,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Somaliland,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
British Virgin Islands,8,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,1,,,,,,,,,,1,,
Brunei,311,0.03%,,,,,,,,,,,,,,,,,,,,,,2,1,,,,5,,1,8,1,5,3,3,9,,3,,1,1,5,3,3,3,10,13,14,12,14,4,7,24,13,8,4,6,5,6,7,8,6,3,8,6,3,10,17,8,9,9,7,13
Bulgaria,1237,0.13%,,,,,,,,1,10,9,14,21,9,5,8,6,4,2,5,7,4,3,1,8,4,3,5,5,2,7,13,2,6,2,2,2,1,6,3,,2,2,3,2,13,31,23,39,37,35,94,43,57,50,41,38,66,63,52,35,21,9,24,54,32,40,30,36,21,29,21,14
Burkina Faso,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Burma,830,0.09%,14,2,9,10,9,11,18,7,6,7,2,4,11,12,4,,6,3,9,7,6,6,9,11,13,8,7,6,13,21,8,14,11,8,9,7,8,6,8,3,16,12,6,10,21,22,22,24,16,19,55,50,32,15,14,35,38,13,9,7,2,2,11,14,7,14,4,,7,,,
Burundi,153,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,13,4,2,4,1,4,5,13,21,21,6,6,13,13,7,6,2,6,
Cambodia,10427,1.12%,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,2,23,11,5,17,49,184,246,379,326,401,287,439,350,298,282,555,459,258,162,109,98,246,206,201,271,322,480,431,389,301,258,184,77,83,107,226,255,245,332,286,258,189,137
Cameroon,23,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,1,1,2,1,1,1,,,,,,,,1,1,2,3,2,2,,1
Canada,8047,0.86%,368,,3,,,1,2,,2,,2,1,,4,1,4,3,10,3,10,6,4,11,13,23,41,53,47,127,231,185,156,244,229,176,165,210,228,204,254,255,253,182,132,206,148,147,185,136,141,174,185,185,126,132,147,143,97,119,104,115,90,126,166,142,165,143,161,211,200,173,137
Cape Verde,2,0.00%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,19,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,1,1,2,,1,4,2,4,,1
Central Africa,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Ceylon,3245,0.35%,15,,,,,,,,,3,1,4,4,3,3,1,,1,5,,1,2,,3,,1,3,,4,,1,,2,31,15,46,37,21,35,42,112,108,114,95,218,227,125,145,143,229,514,482,408,31,3,1,2,,,1,,,,,,2,,,,,1,
Chad,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,
Channel Islands,789,0.08%,30,,1,,,,,,,1,1,1,,,,,,,,,3,1,2,3,4,6,4,6,36,39,16,14,19,37,15,31,24,23,13,36,18,15,18,15,17,11,15,14,12,11,10,14,15,5,3,11,17,27,32,21,12,16,19,13,7,6,14,3,10,14,6,2
Chile,1571,0.17%,3,,1,,,,,,,,,,1,,,,,,3,,1,,,,2,,4,1,3,36,43,50,66,30,29,10,18,16,31,22,32,15,9,4,10,9,8,7,6,5,19,15,31,13,25,11,23,17,19,28,15,16,27,54,57,92,77,95,129,136,119,78
China,59554,6.40%,51,1,3,4,10,12,22,30,67,144,165,257,124,195,269,160,205,117,170,107,146,81,81,170,152,87,73,65,117,180,148,111,105,195,222,226,191,239,275,207,379,380,359,589,1850,2159,1533,1310,1346,2231,4693,3762,2585,1902,2050,2859,3339,3925,3087,1919,1132,676,846,1160,1178,1229,926,1117,1210,1066,1006,567
Colombia,1030,0.11%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,2,1,5,2,3,1,4,,6,5,9,11,4,3,2,8,10,7,5,4,5,12,11,6,16,20,25,25,17,39,16,21,5,19,24,41,45,73,80,119,135,103,77
Congo,193,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,3,,1,11,1,1,4,1,3,3,5,51,14,17,25,12,10,5,8,12,3
Cook Islands,7,0.00%,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,
Costa Rica,54,0.01%,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,1,1,,,,2,,1,1,5,,,1,1,2,3,4,2,,1,2,,1,,3,1,1,1,2,,5,4,1,2
Cote d'Ivoire,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Croatia,1238,0.13%,13,1,4,9,11,8,3,7,10,9,12,15,6,1,1,,2,6,4,16,2,3,,1,1,,1,,,,,,,,,,,,,,,1,,,1,1,4,18,10,224,285,135,83,40,40,38,27,30,14,19,15,11,5,13,8,12,10,4,13,8,8,15
Cuba,53,0.01%,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,2,,,,,,,,,,1,,,,,1,1,,,,1,,,2,1,1,4,,2,,2,,,7,4,,3,3,4,4,5,,1
Curacao,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Cyprus,435,0.05%,14,,,,,3,2,1,2,1,3,1,1,,,,2,1,3,9,4,3,3,8,6,4,3,3,18,12,19,12,18,20,9,5,10,13,6,17,11,14,13,2,1,8,4,,3,6,3,11,3,4,6,4,3,6,6,10,7,3,7,7,5,8,3,9,10,9,4,9
Czech Republic,742,0.08%,3,3,4,1,4,6,10,8,10,2,4,3,4,5,1,1,3,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,18,19,22,9,8,9,20,5,9,27,26,81,69,52,68,78,64,69
Czechoslovakia,857,0.09%,5,8,5,11,2,19,38,29,42,32,21,10,11,12,12,9,10,6,6,7,5,6,6,6,14,28,20,19,27,29,11,7,6,5,3,2,11,10,41,27,16,12,16,10,15,25,14,14,7,22,29,21,14,7,1,5,3,6,2,2,2,1,3,1,2,5,1,3,6,6,5,3
Dahomey,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmatia,4,0.00%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Germany,11,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,2,4,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,162,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,12,3,,2,1,3,4,3,10,15,16,29,13,10,7,8,6
Denmark,1087,0.12%,13,6,14,3,6,15,16,23,12,30,41,58,40,17,23,27,16,25,32,15,20,25,7,19,16,6,10,17,10,23,20,10,15,8,4,9,8,6,7,8,17,9,4,5,5,5,4,12,5,14,8,6,4,7,3,2,6,7,5,5,4,6,5,7,5,6,23,49,49,51,49,20
Djibouti,51,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,10,4,1,6,14,5,,1,1,2,1,,2,2,,
Dominica,6,0.00%,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,
Dominican Republic,17,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,1,1,,,2,,,,1,,1,1,1,,,,,,,,,,,1,,1,,1,,,,2
Dutch East Indies,10,0.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,2,,,,,,,,,,1,,1,1,,,,,,,,,,
East Germany,33,0.00%,,,,,,,,,,,,,,1,,,,,,,3,2,3,1,3,,2,1,1,,,1,,,,,,,,,,,,,,,2,,1,3,3,3,2,,,,,1,,,,,,,,,,,,,,
East Timor,7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,2,,,,,,,,,,1,,,
Ecuador,128,0.01%,,,,,,,,,,,,,,,,,1,,,,,,,6,1,,,2,,4,1,1,,,,1,1,,,5,3,2,,3,,,1,1,2,1,,2,2,3,2,,,2,2,2,,,,4,2,3,3,8,21,10,20,6
Egypt,2440,0.26%,11,,3,2,2,3,5,3,,2,2,5,4,4,9,,5,2,4,6,11,6,5,2,13,9,7,7,20,19,10,9,11,16,7,10,6,15,11,12,13,13,12,13,10,7,7,16,29,91,365,242,167,75,106,62,86,87,104,45,31,16,39,50,41,46,46,55,38,81,98,71
